Participant;Block;Trial;Lens;Magnification;ID;PointingTime
1;4;0;FL;6;6.0035549;2297
1;4;0;FL;6;6.0035549;1485
1;4;0;FL;6;6.0035549;2000
1;4;0;FL;6;6.0035549;1843
1;4;0;FL;6;6.0035549;1813
1;4;0;FL;6;6.0035549;1922
1;4;0;FL;6;6.0035549;1547
1;4;0;FL;6;6.0035549;1515
1;4;0;FL;6;6.0035549;2407
1;4;0;FL;6;6.0035549;2187
1;4;0;FL;6;6.0035549;2063
1;4;0;FL;6;6.0035549;1562
1;4;0;FL;6;6.0035549;1891
1;4;0;FL;6;6.0035549;2078
1;4;0;FL;6;6.0035549;1922
1;4;0;FL;6;6.0035549;2218
1;4;0;FL;6;6.0035549;1594
1;4;0;FL;6;6.0035549;1875
1;4;0;FL;6;6.0035549;2125
1;4;0;FL;6;6.0035549;1735
1;4;0;FL;6;6.0035549;1718
1;4;0;FL;6;6.0035549;1750
1;4;0;FL;6;6.0035549;1516
1;4;0;FL;6;6.0035549;1828
1;4;1;FL;10;7.06967353;2156
1;4;1;FL;10;7.06967353;2500
1;4;1;FL;10;7.06967353;3000
1;4;1;FL;10;7.06967353;1672
1;4;1;FL;10;7.06967353;3015
1;4;1;FL;10;7.06967353;2985
1;4;1;FL;10;7.06967353;3140
1;4;1;FL;10;7.06967353;2594
1;4;1;FL;10;7.06967353;2953
1;4;1;FL;10;7.06967353;2141
1;4;1;FL;10;7.06967353;2344
1;4;1;FL;10;7.06967353;2984
1;4;1;FL;10;7.06967353;2844
1;4;1;FL;10;7.06967353;3406
1;4;1;FL;10;7.06967353;2609
1;4;1;FL;10;7.06967353;2000
1;4;1;FL;10;7.06967353;2172
1;4;1;FL;10;7.06967353;2610
1;4;1;FL;10;7.06967353;2531
1;4;1;FL;10;7.06967353;2937
1;4;1;FL;10;7.06967353;2204
1;4;1;FL;10;7.06967353;2500
1;4;1;FL;10;7.06967353;2078
1;4;1;FL;10;7.06967353;2484
1;4;2;FL;4;5.28892099;1204
1;4;2;FL;4;5.28892099;1625
1;4;2;FL;4;5.28892099;1750
1;4;2;FL;4;5.28892099;1296
1;4;2;FL;4;5.28892099;1532
1;4;2;FL;4;5.28892099;1515
1;4;2;FL;4;5.28892099;1250
1;4;2;FL;4;5.28892099;1610
1;4;2;FL;4;5.28892099;1187
1;4;2;FL;4;5.28892099;2063
1;4;2;FL;4;5.28892099;1422
1;4;2;FL;4;5.28892099;1359
1;4;2;FL;4;5.28892099;1484
1;4;2;FL;4;5.28892099;1657
1;4;2;FL;4;5.28892099;1437
1;4;2;FL;4;5.28892099;1688
1;4;2;FL;4;5.28892099;1421
1;4;2;FL;4;5.28892099;1454
1;4;2;FL;4;5.28892099;2187
1;4;2;FL;4;5.28892099;2188
1;4;2;FL;4;5.28892099;1562
1;4;2;FL;4;5.28892099;1734
1;4;2;FL;4;5.28892099;1657
1;4;2;FL;4;5.28892099;1093
1;4;3;FL;14;7.99743612;3625
1;4;3;FL;14;7.99743612;3188
1;4;3;FL;14;7.99743612;2437
1;4;3;FL;14;7.99743612;3188
1;4;3;FL;14;7.99743612;3218
1;4;3;FL;14;7.99743612;2985
1;4;3;FL;14;7.99743612;3609
1;4;3;FL;14;7.99743612;5797
1;4;3;FL;14;7.99743612;4266
1;4;3;FL;14;7.99743612;4281
1;4;3;FL;14;7.99743612;3187
1;4;3;FL;14;7.99743612;4547
1;4;3;FL;14;7.99743612;3735
