DesignName,ParticipantID,TrialID,Block,Trial,VV,OC,visualSearchTime,ErrorCount
Preattention,1,1,1,1,Size,Medium,621,0
Preattention,1,2,1,1,Size,Medium,702,0
Preattention,1,3,1,1,Size,Medium,482,0
Preattention,1,4,1,1,Size,Medium,457,0
Preattention,1,5,1,1,Size,Medium,375,0
Preattention,1,6,1,2,Size,Low,339,0
Preattention,1,7,1,2,Size,Low,411,0
Preattention,1,8,1,2,Size,Low,520,0
Preattention,1,9,1,2,Size,Low,457,0
Preattention,1,10,1,2,Size,Low,439,0
Preattention,1,11,1,3,Size,High,396,0
Preattention,1,12,1,3,Size,High,463,0
Preattention,1,13,1,3,Size,High,327,0
Preattention,1,14,1,3,Size,High,465,0
Preattention,1,15,1,3,Size,High,422,0
Preattention,1,16,2,1,Color,Medium,467,0
Preattention,1,17,2,1,Color,Medium,432,0
Preattention,1,18,2,1,Color,Medium,425,0
Preattention,1,19,2,1,Color,Medium,403,0
Preattention,1,20,2,1,Color,Medium,339,0
Preattention,1,21,2,2,Color,Low,310,0
Preattention,1,22,2,2,Color,Low,406,0
Preattention,1,23,2,2,Color,Low,383,0
Preattention,1,24,2,2,Color,Low,359,0
Preattention,1,25,2,2,Color,Low,445,0
Preattention,1,26,2,3,Color,High,360,0
Preattention,1,27,2,3,Color,High,408,0
Preattention,1,28,2,3,Color,High,356,0
Preattention,1,29,2,3,Color,High,445,0
Preattention,1,30,2,3,Color,High,511,0
Preattention,1,31,3,1,ColorSize,Medium,397,0
Preattention,1,32,3,1,ColorSize,Medium,441,0
Preattention,1,33,3,1,ColorSize,Medium,459,0
Preattention,1,34,3,1,ColorSize,Medium,498,0
Preattention,1,35,3,1,ColorSize,Medium,1467,1
Preattention,1,36,3,2,ColorSize,Low,1472,1
Preattention,1,37,3,2,ColorSize,Low,2349,0
Preattention,1,38,3,2,ColorSize,Low,805,0
Preattention,1,39,3,2,ColorSize,Low,1765,0
Preattention,1,40,3,2,ColorSize,Low,1294,0
Preattention,1,41,3,3,ColorSize,High,1324,0
Preattention,1,42,3,3,ColorSize,High,1175,0
Preattention,1,43,3,3,ColorSize,High,1739,0
Preattention,1,44,3,3,ColorSize,High,1605,0
Preattention,1,45,3,3,ColorSize,High,1510,0
Preattention,2,46,1,1,ColorSize,High,3755,0
Preattention,2,47,1,1,ColorSize,High,4297,0
Preattention,2,48,1,1,ColorSize,High,10689,0
Preattention,2,49,1,1,ColorSize,High,3680,0
Preattention,2,50,1,1,ColorSize,High,6051,0
Preattention,2,51,1,2,ColorSize,Medium,2148,0
Preattention,2,52,1,2,ColorSize,Medium,5055,1
Preattention,2,53,1,2,ColorSize,Medium,3296,1
Preattention,2,54,1,2,ColorSize,Medium,1972,0
Preattention,2,55,1,2,ColorSize,Medium,1749,1
Preattention,2,56,1,3,ColorSize,Low,2449,0
Preattention,2,57,1,3,ColorSize,Low,3058,1
Preattention,2,58,1,3,ColorSize,Low,3116,0
Preattention,2,59,1,3,ColorSize,Low,7823,0
Preattention,2,60,1,3,ColorSize,Low,3191,0
Preattention,2,61,2,1,Size,High,1057,0
Preattention,2,62,2,1,Size,High,863,0
Preattention,2,63,2,1,Size,High,1047,0
Preattention,2,64,2,1,Size,High,724,0
Preattention,2,65,2,1,Size,High,882,0
Preattention,2,66,2,2,Size,Medium,884,0
Preattention,2,67,2,2,Size,Medium,820,0
Preattention,2,68,2,2,Size,Medium,707,0
Preattention,2,69,2,2,Size,Medium,580,0
Preattention,2,70,2,2,Size,Medium,753,0
Preattention,2,71,2,3,Size,Low,586,0
Preattention,2,72,2,3,Size,Low,485,0
Preattention,2,73,2,3,Size,Low,648,0
Preattention,2,74,2,3,Size,Low,493,0
Preattention,2,75,2,3,Size,Low,567,0
Preattention,2,76,3,1,Color,High,511,0
Preattention,2,77,3,1,Color,High,413,0
Preattention,2,78,3,1,Color,High,378,0
Preattention,2,79,3,1,Color,High,500,0
Preattention,2,80,3,1,Color,High,473,0
Preattention,2,81,3,2,Color,Medium,409,0
Preattention,2,82,3,2,Color,Medium,335,0
Preattention,2,83,3,2,Color,Medium,214,0
Preattention,2,84,3,2,Color,Medium,485,0
Preattention,2,85,3,2,Color,Medium,489,0
Preattention,2,86,3,3,Color,Low,383,0
Preattention,2,87,3,3,Color,Low,619,0
Preattention,2,88,3,3,Color,Low,482,0
Preattention,2,89,3,3,Color,Low,1551,0
Preattention,2,90,3,3,Color,Low,557,0
Preattention,3,91,1,1,Color,Low,1180,0
Preattention,3,92,1,1,Color,Low,1084,0
Preattention,3,93,1,1,Color,Low,967,0
Preattention,3,94,1,1,Color,Low,950,0
Preattention,3,95,1,1,Color,Low,649,0
Preattention,3,96,1,2,Color,High,984,0
Preattention,3,97,1,2,Color,High,957,0
Preattention,3,98,1,2,Color,High,976,0
Preattention,3,99,1,2,Color,High,839,0
Preattention,3,100,1,2,Color,High,1189,0
Preattention,3,101,1,3,Color,Medium,1164,0
Preattention,3,102,1,3,Color,Medium,838,0
Preattention,3,103,1,3,Color,Medium,1050,0
Preattention,3,104,1,3,Color,Medium,891,0
Preattention,3,105,1,3,Color,Medium,1360,0
Preattention,3,106,2,1,ColorSize,Low,1749,0
Preattention,3,107,2,1,ColorSize,Low,1232,0
Preattention,3,108,2,1,ColorSize,Low,3016,0
Preattention,3,109,2,1,ColorSize,Low,2618,0
Preattention,3,110,2,1,ColorSize,Low,1340,0
Preattention,3,111,2,2,ColorSize,High,2632,0
Preattention,3,112,2,2,ColorSize,High,1928,0
Preattention,3,113,2,2,ColorSize,High,1216,0
Preattention,3,114,2,2,ColorSize,High,3451,0
Preattention,3,115,2,2,ColorSize,High,3117,0
Preattention,3,116,2,3,ColorSize,Medium,1625,0
Preattention,3,117,2,3,ColorSize,Medium,1389,0
Preattention,3,118,2,3,ColorSize,Medium,1270,0
Preattention,3,119,2,3,ColorSize,Medium,2667,0
Preattention,3,120,2,3,ColorSize,Medium,3511,0
